comment,label
hàng việt nam tiêu_chuẩn chất_lượng cơ_sở pháp_lý xử_phạt sai quy_định ngược_lại trung quốc trách_nhiệm sản_phẩm tuồn,-1
tiêu_chuẩn việt nam tiêu_chuẩn trung quốc ah doanh_nghiệp trung quốc sàn tất_cả thế_giới mỹ châu âu tệp khách_hàng temu đấy,0
tiền ham rẻ đồng rước hàng trung quốc kém chất_lượng rủi_ro ưu_tiên hàng việt ủng_hộ doanh_nghiệp việt_nam,-1
hàng việt đắt kém,-1
mấy hàng việt sản_xuất a z toàn tỉ_lệ thành_phẩm hàng trung quốc kém chất_lượng thương buôn việt cơ_bản ra_tay đeo đồng_hồ mua temu lẽ_ra gấp 3 mua sàn quốc_tế,-1
chính_xác hàng trung quốc rẻ hàng việt,-1
nước_nhà 1 cơ_hội nhật hàn ưu_tiên hàng ngoại 2 quốc_gia_sản_xuất châu,1
mua đang_tâm_đắc hàng 1 2 3 mẫu_mã y chang hình ngỡ mua giá hời,0
chính_xác bao_giờ lầm mua bao_giờ,-1
tài_chính ô_tô việt nam tưởng sản_xuất rẻ dân việt nam cuối_cùng lăn bánh giá giá nước_ngoài xe_nước_ngoài việt nam hàng việt_nam khăn lụa khải silk niềm,-1
kiến_thức dính vỏ dưa dính vỏ dừa chắc_chắn thừa chất_lượng sản_phẩm trung_quốc thị_trường việt nam thương_lái gia_công quyết_định lừa mua trường việt_nam hàng trung_quốc,0
quên buôn hàng trung quốc thập_kỷ 6 7 vấn_đề cung_cấp tiếng hoa,1
kiến_thức dính vỏ dưa dính vỏ dừa kiến_thức chuẩn giá rẻ nguyên_liệu rẻ_tiền dởm chất_lượng cao_cả kiến_thức chuẩn lệch thực_tế,-1
dẫn_chứng cụ_thể mặt_hàng trung quốc temu rẻ hàng việt nam,0
nhật hàn_quốc tỷ_lệ 80 hàng_hoá lưu_thông hàng xuất_xứ china lựa sản_phẩm sản_xuất đi_đấu china bắt dân mua giá,0
cố ủng_hộ hàng việt nam thất_vọng khâu sản_xuất khâu phân_phối 1 cây_bút nhà_sách giá đội gấp 2 sử_dụng thường_xuyên sau_này hàng tq rẻ chất_lượng hề thua_kém,-1
1 chợ 1 triệu con_buôn hàng trung quốc 10 triệu hàng chất_lượng nhái fake tràn_lan đánh chiếm thị_trường vỏ dưa vỏ dừa sản_phẩm so_sánh chất_lượng doanh nghệp tiêu_chuẩn việt nam quản_lý chặt_chẽ sản_xuất thương_lái sàn tmdt giấy_phép ngang_nhiên mặt cơ_quan quản_lý,-1
việt nam yêu giá tiền hàng việt nam 100việt namd hàng trung quốc 50việt namd tiếng cân_nhắc vấn_đề cơm áo mặc con_cái học_hành,0
xưa kia câu_chuyện xe_máy dân không_thể mua honda nhật giá 32 triệu ngắn_hạn dream tàu giá 6 8 triệu có_thể chạy 5 7 mua rẻ chạy,0
đứng vai_trò mua quản_lý 1 đóng 3 vai,0
bàn điều_kiện khách_hàng không_trách trải nghiệm như_ý trách mua lạc_hậu thập_kỷ chủ_quan nhận_định phiến_diện,0
hàng việt kém hàng trung quốc chê,-1
hàng trung_quốc 2 thập_kỷ,0
nghỉ 6 7 chủ_yếu mua,0
ủng_hộ cố_gắng ủng_hộ xe oto giá_trị đồng ráng hám rẻ đu,0
ban_đầu sử_dụng hàng quốc_gia sản_xuất sử_dụng hàng ngoại china sau_này mạnh_mẽ gia_công china công_nghệ,0
10 gia_công công_nghệ_cao hàng gia_dụng hàng nhãn_hiệu china rẻ 1 2 tiêu_dùng,0
giải_pháp quyết_liệt việt_nam thành bãi rác hàng kém chất_lượng doanh_nghiệp việt thua sân_nhà cạnh_tranh lành_mạnh,-1
thế_là tiêu_dùng ham rẻ đổ sàn trung quốc ta,0
cạnh_tranh lành_mạnh thua sân_nhà bởi_vì trung_quốc tự_động_hoá khâu sản_xuất chi_phí sản_xuất tiếng thập_kỷ sản_xuất quy_trình sản_xuất tinh_gọn tối yêu đa_dạng hàng_hoá nhập bu_lông trung_quốc bao_gồm vận_chuyển thuế vn rẽ hàng nội_địa hàng_họ sản_xuất đẹp góc_cạnh cắt máy_móc tân tiến tiếng,-1
sàn thương_mại điện_tử châu âu xuất_hóa đơn vat thuế_nhập_khẩu 1 euro trở bảo_hành ít_nhất 1 giấy_phép đăng_ký kinh_doanh sở_tại chính_sách khách_hàng hài_lòng sản_phẩm 2 tuần,0
shope phép hàng bất_kỳ lý_do thậm_chí chẳng lý_do,0
tuyệt_vời chúc fpt vũng phát_triển công_trình ý_nghĩa nhân_văn,1
tuyệt_vời,1
e khóc thật_sự,-1
hồi vs trường ám_ảnh không_thể tả nỗi mừng,1
thương thiên_thần bệnh_tật giày_vò đồng_cảm phụ_huynh bề_ngoài tỏ kiên_cường chỗ dựa tâm_hồn đau_đớn gục ngã,1
chúc_mừng khỏe_mạnh yêu_đời,1
trình_độ y_tế việt nam chẳng thua phát_triển mỹ hàn nhật thậm_chí chi_phí rẻ chế_độ chăm_sóc,1
chúc_mừng mong khỏe_mạnh,1
chúc_mừng mong khỏe_mạnh,1
đăng_ký phẩu thuật cháu thế_nào cháu mắc căn_bệnh y_như hàng truyền máu tội_nghiệp a c hướng_dẫn giúp,1
món đồ khai_thác hiếu_kỳ thách_thức bản_ngã tốt_đẹp,-1
mấy trả_lời sống,0
thương_trường chiến_trường làm_ăn kinh_doanh chả,-1
thương_trường kiếm tiền,1
trường chiến_trường,-1
thương_trường chiến_trường quan_niệm tiếng lừa_gạt cạnh_tranh lẫn suy_yếu,0
niềm vui tiếng cười một_số niềm may_mắn thế_là tiền đôi_khi sống đơn_giản bro,1
thị_trường vận_động quy_luật cung_cầu tiếng tiền mua sản_phẩm giá_trị có_thể giá_trị giá_trị vì_thế sẵn_sàng tiền đừng bắt góc,0
trend ngắn_hạn labubu xếp_xó ích_lợi đem tiền sản_xuất niềm vui tiêu_dùng sản_phẩm thương_mại,-1
như_vậy ngây_thơ thị_trường vận_hành quy_luật cung_cầu chi_phối nhu_cầu con_người đứa trẻ tự_nhiên labubu kích_động dụ labubu đằng thị_trường cuộc_chiến áp_đặt văn_hóa thị_hiếu tư_tưởng,-1
lạ ấn_tượng đẹp hữu_ích con_người nhầm_lẫn hai khái_niệm cho_nên vô_bổ lạ ấn_tượng đối_xử đẹp hữu_ích,-1
suy_nghĩ vấn_đề bảo_vệ môi_trường sản_xuất tiêu_thụ vô_tội_vạ thiết_thực hữu_ích hậu_họa thế_hệ lợi trước_mắt kinh_tế tăng_trưởng đồng_nghĩa_là môi_trường hủy_hoại,-1
đồng_ý tin_tưởng tiếng lập_trình tiếng đồng sáng_tạo tất_cả môi_trường hỗ_trợ tạo_dựng cuộc_sống dồi_dào tất_cả,1
suy_nghĩ nguồn_gốc chiến_tranh tại_sao không_thể chấm_dứt cuộc_chiến thế_giới ngày_nay tâm_thức đánh nằm tâm con_người,-1
đọc dân kinh_doanh làm_ăn tui chấp_nhận câu tốt_đẹp yêu món đồ mong_muốn sở_hữu trả_lời 2 câu tại_sao tiếng 2 mặc_dù tui gogle xong tui tại_sao cuồng yêu đừng quản tiếng quản thế_gian,-1
đồng_ý hoàn_toàn,1
thương_trường con_người chia_sẻ giúp_đỡ lẫn con_người khai_thác yếu tâm_lý kiếm tiền câu rút trải nghiệm đọc đọc tiện chia_sẻ rút câu câu_chuyện áp_dụng trường_hợp kinh_doanh,0
dựa luật nhân_quả,0
trường giúp_đỡ lẫn nè mẫu_giáo thương_trường,-1
thương_trường chắc_chắn chiến_trường cá nuốt cá bé the winer take công_nghệ thông_tin al chẳng sai xấu quy_luật chọn_lọc tự_nhiên cá_thể yếu_kém thích_nghi đào_thải,-1
học khônghông có_nghĩa_là học xấu 1 vấn_đề vô_vàn khônghônghía cạnh học_hỏi quy_chụp khônghông toàn nêu xấu khônghông_vậy,-1
ngôn_từ học lớp dạy_học kinh_doanh tử_tế có_thể kinh_doanh bắt_đầu học kinh_doanh,-1
2 nghìn linh mấy trái_đất 7 tỷ lhq thông_điệp 7 tỷ chỗ sống trái_đất yêu_thương văn_minh,1
thật_sự ngây_thơ lý_thuyết có_thể khẳng_định chủ 1 doanh_nghiệp vật_lộn 1 kinh_tế thị_trường duyên trở_thành 1 mắt_xích 1 doanh_nghiệp cạnh_tranh thời suy_nghĩ ngây_thơ,-1
hoàn_toàn đồng_ý tác_giả thị_hiếu con_người bây_giờ truyền_thông sức ảnh_hưởng chi_phối đọng con_người 1 thời_gian tất_cả mục_đích sản_xuất sản_phẩm thu tiền đem thùng rác ảnh_hưởng môi_trường khủng_khiếp sợ,-1
chuẩn chỉnh đồng_ý đông con_người bây_giờ sống cảm_xúc đám đông truyền_thông tạo_lập dẫn_dắt dần suy_nghĩ thấu_đáo tất_cả hưởng_thụ con_cháu tiếng lĩnh hậu_quả thảm_hại,-1
haha thương_trường con_người chia_sẻ giúp_đỡ lẫn biết_đâu định_nghĩa 1 câu trả_lời câu thương_trường,-1
đọc sách trẻ bây_giờ 1 yêu theo_đuổi 1 lý_do chẳng,-1
đồng_cảm tâm_tư vẻ tiếng 1 xã_hội quay_cuồng ngày_nay,-1
tốt_đẹp câu bi_quan tý năng_suất lao_động thành_quả lao_động trí_tuệ sáng_tạo con_người đầu_óc thoải_mái vui_vẻ làm_việc đồ_chơi góp_phần thương_trường khai_thác sản_phẩm như_vậy kiếm tiền,0
luận_điểm cũngười quyền nêu ý_kiến cũngười khôngười phản_bác ý_kiến ngườiười khôngười đúngười ngườiười nêu quan_điểm sai lý_luận đừngười bắt ngườiười góc nhưngười câu khẳngười định tiếng tiền sản_phẩm mangười giá_trị thể nhữngười ngườiười mua quan_điểm như_vậy chủ_quan khiêngười cưỡngười,0
cổ_hủ khai_thác hiếu_kỳ có_nghĩa_là tiềm_năng kinh_doanh kinh_tế miễn hại cổ suý bạo_lực suy_nghĩ tốt_đẹp,-1
giám_đốc 12 nắm 3 doanh_nghiệp 80 nhân_viên doanh_nghiệp triển_khai dự_án cộng_đồng xã_hội mục_đích đối_mặt cạnh_tranh thương_trường,0
có_thể tìm_hiểu bản_chất con_người tư_tưởng thị_trường tự_do xuất_phát quan_niệm bản_chất con_người tham_lam tư_lợi tư_tưởng thương_trường chia_sẻ hỗ_trợ học_hỏi lẫn xuất_phát bản_chất con_người sáng_suốt tử_tế,0
đoán nhầm giám_đốc chủ_tịch hội_đồng quản_trị 3 doanh_nghiệp,0
cảm_ơn ủng_hộ,1
lập_trình lập_trình trái_đất thiếu_thốn tất_cả giựt thật_ra cuộc_sống sẵn tiềm_năng dồi_dào làm_việc tinh_thần tất_cả sung_túc giàu_có hỗ_trợ_giúp_đỡ lẫn có_thể câu sống tách_biệt xoay quanh nhỏ_bé vơ_vét thương_trường chiến_trường_thành sự_thật,1
khônghônghi tiếng khônghôngêu gọi giúp_đỡ chính_đáng tiếng tiếng con_người viết hoa ý_thức động_vật khônghông khônghônghi tranh tiếng lui khônghônghi thừa ý_thức khônghông tranh khônghôngiểu ngẫm,-1
đừng phê_phán hành_động mua hàng mong_muốn nhu_cầu mua hàng lý_do có_thể lý_do đừng phê_phán mua giá_trị ý_nghĩa mua giá_trị ý_nghĩa,0
cảm_ơn chia_sẻ,1
trường mẫu_giáo tụi nhóc đánh giành đồ_chơi,-1
thay_vì phân_tích thành_công khen_ngợi câu cửa_miệng tiếng chê ỏng eo xấu_xí vô_bổ tiếng giàu_có vô_bổ,-1
đồng_tiền nghiệp kiếm tiền vô_bổ tiền đổi vô_bổ,-1
bình_luận chính_xác việt tiếng đa_số xấu đố_kị ghét giàu giỏi thay_vì tìm_hiểu tại_sao tiếng thành_tựu phát_triển tiếng gạt đố_kị,-1
nghèo bền_vững,0
bình_luận tiếng thiếu_nghiệp tiếng mãi nghèo d công_ty nước_ngoài nghiệp chủ lẫn nhân_công tiền nghiệp ăn_uống ngon ngủ ngon lo cuộc_sống nhà_cửa tiếng nghiệp ăn_ở thiếu_thốn đỡ,0
tưởng_tượng đời_sống con_người vọng chiếu nội_tâm nội_tâm sâu_sắc nhận_thức ngoại_cảnh hời_hợt lắm vật_chất cảm_thấy,0
mục_đích kinh_doanh kiếm tiền phạm_pháp vô_bổ bổ lợi_nhuận mục_tiêu sản_xuất sản_phẩm vô_bổ giúp công làm_nên trở_thành bổ,0
đồng_ý so_sánh khập_khiễng thực_tế sản_phẩm tự_nhiên sốt trở_nên hot ngôi_sao hàng_đầu chia_sẻ,1
khóa học chữa lành bác_sĩ tâm_lí công có_giá kể_cả đồng_tiền,-1
ca nước_ngoài công_nhân vất_vả lo_lắng hoá_đơn hàng thế_nào ăn_uống ngon ngủ ngon blah blah chém đình_công thường_xuyên đòi quyền_lợi,-1
công_nhân việt nam lo_lắng gia_đình 5 7 phòng trọ,-1
công_nhân tiếng lo_lắng tiền thuê mua xe_hơi,0
tồn_tại đố_kỵ chê_bai sản_phẩm việt sẵn sàn tung_hô sản_phẩm nước_ngoài thật_sự sẵn_sàng chê_bai sản phầm sản_phẩm tiếng_vang quốc_tế,-1
thật_sự xấu mắc tiền vô_bổ khen học duy_nhất marketing,-1
tác_giả pikalong chẳng đọng ấn_tượng rồng trang_trí cây_cối thân rồng mặt na_ná pikachu labubu nhân_vật món đồ_chơi thiết_kế sưu_tầm thổi vẻ cá_tính thiết_kế yêu màu_sắc tươi_sáng sức hút chẳng đại_diện vấn_đề chỗ sáng_tạo,-1
mấy hình pikalong xấu,-1
pikalong đọc tra g,0
chả sai thành_công thất_bại thất_bại so_sánh học bài_học tại_sao tiếng chẳng nhất_là tư_tưởng anti hàng trung quốc kẻ thiệt_thòi tiếng chẳng thiếu_sót,-1
thật_ra giới trẻ bây_giờ chạy trào_lưu,0
b bình_luận pikalong giai_đoạn nổi thực_ra pikalong sáng_tác mẩu vui sticker nền_tảng chat gấu figure quan_tâm viết pikalong cơ_sở truyền_thông bài_bản,1
tất_cả nằm quảng_cáo marketing sáng_tạo chẳng phủ bụi góc,0
bản_thân labubu ấn_tượng đẹp đẹp xấu xấu khác_biệt nằm truyền_thông chiến_lược đánh thể_hiện,0
labubu xấu hút hút,-1
cảm_giác labubu,0
khác_biệt labubu nhạc nổi_tiếng toàn_cầu ủng_hộ sức ảnh_hưởng nổi_tiếng hot,0
thú thể_hiện trình_độ maketing hàng đỉnh_cao bản_thân giá_trị bình_thường,-1
giá_trị cốt nõi kinh_doanh giỏi tầm nhìn_xa marketing cực bì,1
chả custom,0
pikalong custom xấu lắm ấn_tượng,-1
việt_nam tâm_lí đồ_chơi giành trẻ_con chê nhật kinh_tế phát_triển văn_hóa sưu_tầm giá_trị labubu đề_cao xét văn_hóa xã_hội quốc_gia lá yugi oh pokemon giá tỷ đồng bình_thường chấp_nhận nắm_bắt cộng_đồng sưu_tầm đồ_chơi hiếm kinh_doanh 1 tầm hoàn_toàn kinh_doanh bình_thường,1
ý_kiến tác_giả tích_cực sự_thật bao_nhiêu việt nam khâu xây_dựng thương_hiệu nói_chung ngành dệt may nói_riêng việt_nam hầu_như châu đa_phần gia_công thương_hiệu,-1
quan_trọng mục_đích mục_đích niềm đam_mê tri_thức say_mê khoa_học tiếng tiến_sĩ khoa_học giỏi mục_đích hợp_thức_hoá cố ghế mánh học_vị công_sức vị tiến_sĩ chất_lượng kém,0
sai thực_sự chất_lượng đào_tạo tiên_tiến mánh học_vị không_thể nói_thẳng mánh việt nam,-1
tiến_sỹ lớp học_vị chứng_minh khả_năng đóng_góp thực_tế xã_hội dừng danh_hiệu thực_chất danh xưng giá_trị thực_sự,-1
thế_thì hơi nhầm chia_sẻ học tiến_sĩ,0
khóa master phd học đại_học nước_ngoài tiên_tiến hẳn_hoi dạng tiền cung_cầu giáo_dục 1 ngành kinh_doanh tư_bản nắm_bắt,0
học_vị tiến_sĩ vấn_đề nghiên chiếm phần_lớn không_thể đào_tạo hướng_dẫn định_hướng vấn_đề chổ đánh_giá bảo_vệ luận_án hội_đồng,0
quên ghi_chú trường rank tiên_tiến trường thu tiền lùm_xùm báo,-1
câu_chuyện học tq đầu học tiến_sĩ dễ_dàng tưởng thực_tế đối_mặt thử_thách nghiên_cứu sâu lĩnh_vực hẹp giao_tiếp hợp_tác học_giả quốc_tế quan_trọng học bằng_cấp chứng_minh giá_trị khả_năng thực_sự đóng_góp ngành_nghề,1
đồng_ý thiên_địa nhân,0
vấn_đề cốt_lõi tư_duy bổ_nhiệm cán_bộ hiện_nay dựa bằng_cấp dựa năng_lực thành_quả_thực_tế cán_bộ nạn chạy tiến_sĩ phổ_biến việt nam ngoại_trừ công_tác khoa_học đam_mê,-1
tiến_sĩ học bạn_bè học cơ_bản nghiêm_túc thực_sự chuyên_môn cơ_quan tiến_sĩ học tiên_tiến phần_lớn yếu chuyên_môn ngoại_ngữ tất_cả cơ_quan hiện_tại đừng xính ngoại_thế,-1
chất_lượng tiến_sĩ liên_quan sử_dụng tiến_sĩ tiến_sĩ đào_tạo khoa_học chuyên_nghiệp nghiên_cứu khoa_học chất_lượng đảm_bảo dạy đại_học tạm ổn quan đa_số tiến_sĩ hiện_nay chất_lượng bởi_vì quan chẳng kỹ_năng kiến_thức tiến_sĩ,0
chuẩn,1
xính ngoại xét tỷ_lệ trung_bình tiên_tiến thực_tế chất_lượng tiến_sỹ việt_nam điều_kiện so_sánh chả phần_tử đặc_biệt,0
đông số_ít tiếng như_vậy,0
ngược_lại tư_duy bổ_nhiệm quản_lý nhất_thiết dựa bằng_cấp quy_định trình_độ đh phân_biệt loại_hình đào_tạo tiếng bằng_cấp,1
bằng_cấp ít_nhất giấy_tờ chứng_minh trình_độ năng_lực thành_quả trưởng_phòng giao tuyển_dụng vị_trí 1 bằng_cấp 1 ghi năng_lực tham_mưu tuyển,0
trung_bình thậm_chí điều_kiện việt_nam tiên_tiến điều_kiện,0
để_ý hiện_tại nghiên_cứu_sinh tập_trung ngành khoa_học cơ_bản ngành đòi_hỏi cơ_sở nghiên_cứu tập_trung ngành kinh_tế luật,-1
mục_đích học tiến_sĩ việt nam mục_đích học tiến_sĩ đề_nghị hễ tiến_sĩ gs bố_trí viện nghiên_cứu giảng_dạy chức_danh đại_học,0
kết câu thày hướng_dẫn năng_lực tinh_thần tinh_thần thầy hướng_dẫn yếu,-1
viết hiếu nghiên_cứu_sinh học tức_là giá_trị tiến_sĩ giấy,1
dừng chỉ_tiêu tiến_sĩ coi tiến_sĩ vật tiến_thân giỏi nghề làm_việc chất_lượng giỏi chính_trị chính_trị giỏi kinh_tế kinh_tế tiến_sĩ công_tác nghiên_cứu,-1
ngày_nay quen tiến_sỹ giấy học tiến_sỹ giấy treo phòng oai giúp_ích xh nhân_loại vậy_mà việt nam giấy tiến_sĩ bất_chấp thiên_hạ chê_bai chỉ_trích tiến_sĩ giấy nhục mặt lắm,-1
viết việt nam nghiên_cứu học_tập mô_hình_như_vậy,1
cảm_ơn đọc chia_sẻ,1
tiền đóng học_phí trường học lương,0
ngắn_gọn,1
cảm_ơn đọc chia_sẻ,1
đào luyện ý_nghĩa học tiến_sỹ 2 phạm_trù học tiến sý nghiên_cứu thực_nghiệm thành_quả chứng_minh thành_quả nghiên_cứu tất nhiến có_thể có_ích tiến_sỹ thành_tựu kinh_nghiệm tiến_sỹ xây_dựng nền_móng ra_đời thành_quả hữu_dụng,0
học vốn học,0
đồng_ý quan_điểm phát_triển thế_giới cố_gắng một_số việt_nam việt_nam tiếng thua thế_giới ông_cha lao_động chăm_chỉ cơ_sở việt nam chăm_chỉ lao_động sáng_tạo năng_suất đất_nước,-1
nghịch_lý tập_trung nhồi kiến_thức đặc_biệt bậc phổ_thông tiếng mãi hiệu_quả lãng_phí công_sức dạy áp_lực học khích_lệ tinh_thần ham học_hỏi học kiến_thức,-1
đồng_ý hoàn_toàn ý_kiến,1
cơ_thể khỏe_mạnh có_thể sức_khỏe học trẻ dồn sức_lực tập_trung học triền_miên uể_oải áp_lực cuối_cùng kết_quả chả nguyên_tắc 70 30,1
hai tầm nhìn_xa khỏe học học học,1
học_hành thi_cử đỗ_đạt công_việc vị_trí xã_hội nhu_cầu chính_đáng thiết_yếu tuy_nhiên học kiến_thức mũi_nhọn công_phá thành_trì rèn_luyện 2 mũi công thể_chất tâm_hồn như_vậy quá_trình phát_triển bản_thân toàn_diện bền_vững nhân_tài học giỏi thi huy_chương giải_thưởng thành_công hạnh_phúc mấy tây học làng nhàn cân_bằng 3 yếu_tố,1
học chăm_chỉ đồng_nghĩa_là học hiệu_quả cá_nhân xuất xắc chăm_chỉ ngược_lại cá_nhân chăm_chỉ cá_nhân xuất xắc,-1
lao_động việt nam uể_oải công_việc thu_nhập vật_giá nghề học nghề kiếm tiền chảy máu chất_xám đất lành chim đậu,-1
học đường,1
tiếng khôi_phục thi đại_học hàn_quốc trung quốc học_sinh đài loan singapore hàn_quốc trung quốc nhật thống_trị top 5 bảng xếp_hạng đánh_giá tổ_chức pisa mỹ top đại_học harvard princeton stiếng anhnford bắt tiếng anhy luyện 11 gia_sư,-1
trường_hợp bạn_bè ganh_đua học con_cái học giỏi học đứng tư lớp học đứng chửi tại_sao học thua áp_lực mẹ lạ_đời học giỏi đứng lớp khen chửi ganh tỵ lẫn phụ_huynh,-1
đồng_tình ý_kiến hiệu_quả học chuyên_môn nghiên_cứu chuyên_sâu khoa_học ứng_dụng nghành nghề độ trẻ_em học sanh người_ta giao_tiếp khám_phá xã_hội thế_giới xung_quanh trở mọt_sách_đen ảnh_hưởng sức_khỏe tinh_thần khả_năng học_hỏi trẻ,-1
thầy tặng kiến_thức bài_học nhân_cách đạo_đức đối_diện thử_thách cuộc_sống thầy giảng hành_động thầy món quà quý_giá giúp phát_triển học_tập tài_sản vô_giá thầy tặng hành_trang vững đường tương_lai,1
tư_liệu quốc_gia áp_lực học_đường áp_lực học thế_nào thành_công loay_hoay mãi lối_thoát,-1
phụ_huynh học học chúng_tôi buộc học kiến_thức truyền_tải lớp thi đa học_sinh một_số học_sinh thông_minh có_thể chúng_tôi học có_thể kỳ thi học trường công,-1
học hiệu_quả công_sức tiền_bạc thời_gian kết_quả một_số chỉ_số đánh_giá kết_quả dài_hạn kiến_thức quên động_lực_học khả_năng học,-1
thước_đo thành_công tiền_bạc khả_năng cá_nhân khoa_học bác_sĩ giáo_viên bộ_đội thể đo tiền,1
khoa_học bác_sĩ giáo_viên giá_trị_giá_trị đem tiền_bạc chung_quy giá_trị đem tiền_bạc sống 1 cuộc_đời nghèo_khó không_thể gọi thành_công 1 tài_năng khoa_học bác_sĩ giáo_viên giỏi kiếm tiền có_chăng từ_chối tiền,-1
nicolas tesla đấy chết nghèo_khó trúng đột_ngột giàu hôm_nay tỉ_phú tiếng kêu giỏi ngày_mai phá_sản thành_ra giỏi tiền_bạc thước_đo nhất_thời giỏi kiếm tiền kiếm tiền xã_hội vinh_danh giỏi,0
tiếng đấy phụ_huynh áp_lực thực_sự chương_trình giáo_dục bây_giờ học giảng bài_tập kỹ_lưỡng kiểm_tra học không_thể_nào bắt kịp học,-1
kiếm tiền xã_hội vinh_danh giỏi có_thể cuộc_sống khó_khăn tiền tất_cả tác_dụng trở_nên dễ_dàng tiền thoáng,0
lợi_ích ngắn_hạn đấy lợi_ích dài_hạn,0
học áp_lực học_sinh áp_lực học áp_lực học cường_độ gấp mấy học,-1
lợi_ích dài_hạn,0
đọc viết phụ_huynh kì_vọng áp_lực hè học tiếng đề hè hoàn_toàn,1
mỹ học mỹ,-1
mỹ học học tâm thế_là học vui học hiệu_quả áp_lực vì_thế giỏi,1
tiếng viết thông_điệp truyền_tải ko,0
bố_mẹ giàu thoải_mái nghèo áp_lực học,-1
hạnh_phúc học hạnh_phúc học hạnh_phúc học hạnh_phúc học na_ná có_thể sai_lầm chiến_lược,1
cảm_thấy khác_biệt áp_lực áp_lực mệt_mỏi chán_nản mệt sảng_khoái kiểu vận_động thể_thao mệt lột_tả khác_biệt,1
bản_chất hai chiều một_khi thông tắc có_nghĩa_là mục_đích áp_lực nhọc_nhằn đc hạnh_phúc hạnh_phúc gọi áp_lực nhọc_nhằn nhẫn_nại cố_gắng niềm vui hề mệt đc mục_đích hạnh_phúc việc_làm học,1
vĩ_nhân abraham lincoln albert einstein có_thể học thành_công tầm_thường nỗ_lực có_thể lật đổi_đời,-1
học trở_thành vĩ_nhân mà_lại học như_chơi hai loại_trừ lẫn bổ_trợ,1
cảnh chim cò bình_yên hy_vọng bảo_tồn chim,1
đất lành chim đậu,1
mấy con_cò nhạn tiếng máy trục bay kín đại_tiệc cá côn_trùng,1
mong đừng 01 cánh đồng toàn cò_mồi đàn cò đông,1
