content,label
"Giao thiếu 1b 80k , mà im re",2
Sản phr rất ưng ý,1
Chất lượng sản phẩm tuyệt vời,1
mua lần 2 rồi <3,1
"Ngực em cuzng bitnhf thường thôi, mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực",2
Quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,1
99k cũng đáng mua,1
"Quần đẹp, vừa form",1
Giao hàng nhanh,1
"Chất vải xấu, xù",2
"Sp tạm được, hơi rộng so vs mình",0
"Đẹp, chất mềm mại mặc rất thích, chủ shop nhiệt tình Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh",1
"Giày nhem nhuốc, ố bẩn + Box nát",2
"Rất đáng tiền, tuy nhiên vải ko được co giãn lắm, nếu là bạn gái từ 55k trở lên thì khó mặc",0
Đủ số lượng,1
Áo y hình Chất lượng sản phẩm tuyệt vời,1
RẤT ƯNG Ý VÀ CHẤT LƯỢNG!!,1
"Mật để trong tủ lạnh bị đóng sệt lại, khoảng không trong chai ko di chuyển như mật mình mua ở địa phương",2
Áo sờ chất rất thích,1
"Váy quá đẹp,mặc lên rất tôn da",1
"mình xài hộp màu xanh, sao lại thấy không thơm nhỉ",1
"Giao hàng nhanh, giống hình",1
"Shop tặng thêm bánh và 1 đôi tất lười nữa, đáng yêu 😍😍",1
"Hàng chất lượng tốt, mang đi êm <3",1
Chất lượng sản phẩm tuyệt vời nhưng màu k giống hình minh đặt,1
Người giao hàng rất có tâm đấy ạ,1
Hàng tốt i như trong hình,1
Giao hàng khá chậm,2
"Áo đẹp, hơi mỏng",0
Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt,1
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a",1
Màn hình to và khá là hd,1
Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok,2
Quần chưa kịp mặc đã bục 1 đoạn,2
Mình 48kg,0
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý",1
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to,1
Shop còn có quà tặng kèm và thẻ tích điểm,1
Mạng chạy chậm quá,2
"Vừa khít bụng mình mà không bị hằn,cấn",1
Mua lần 2,1
Chất lượng sản phẩm tốt,1
Rất ưng ý 🤪❤️❤️,1
"Hàng thì siêu yêu, siêu mềm mịn",1
Chất liệu vải tốt so với giá ( 100k),1
Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được,0
"Đóng gói kĩ , áo còn lại đẹp",1
"Giao nhầm hàng , ib shop k trả lời 😓😓😓",2
"Màu bạc rất sáng, lấp lánh hơn màu hồng",1
"Chất áo dày dặn, form áo đẹp",1
Ống quần bên to bên nhỏ size s và l bằng nhau,2
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh,1
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok",1
Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ..,0
Chất lượng sản phẩm tuyệt vời,1
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄",1
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc",1
Giao hàng lâu,2
Sz 34 mà Khung ngực nhỏ quá,2
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Hàng y hình rất đẹp ạ ❤️,1
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém,2
Bàn tay mỏng nên ko nâng lắm,2
Đẹp lắm đấy,1
"Áo giống hình, chất vải hơi nóng",1
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi",2
Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng,0
Đóng gói sản phẩm rất đẹp và chắc chắc,1
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp",1
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm,2
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà",1
Váy còn đẹp và chuẩn hơn trong hình nữa,1
Sz 2 bộ xanh và hồng ko giống nhau,2
Áo rẻ đẹp phù hợp giá tiền,1
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi...",1
Chất lượng sản phẩm tuyệt vời,1
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp,1
Sản phản mới.Chất lượng sản phẩm tuyệt vời,1
Giao hàng nhanh.👍👍,1
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈,1
Chất ok á..nhưng rep ib thì hơi lâu,1
Luôn ủng hộ shop,1
Âm thanh rất dở,2
Xấu và nhìn phom áo chán đời luôn,2
Chất lượng sản phẩm tốt Đáng đồng tiền,1
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa",1
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍",1
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm,2
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết,2
Chuẩn hàng Bitis,1
Màu ko đẹp như hình chup,2
Hàng đẹp giao nhanh,1
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè",1
Hợp với giá 130k,1
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào",2
Thời gian giao hàng rất nhanh,1
"Công nghệ hơi lạ, ko biết có bền ko",0
Gối hơi nhỏ,2
"Áo nhìn xinh , shop nói chuyện cực đáng yêu",1
Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá,0
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,2
Vải oke lắm luôn,1
"Sản phẩm tạm được, đóng gói không đẹp",2
Chưa thấy shop nào hãm l thế này,2
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng",1
Tầm giá là sử dụng tot,1
Không dùng được,2
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình,2
Sản phẩm tôt giao hang nhanh,1
Hàng bình thường,0
K con duong nao de che,2
Chất vải ok dày dặn,1
Ưng,1
Nay mua thêm 1 combo nữa,0
áo dep lam shop ui.mình rat thix,1
Thời gian giao hàng nhanh,1
Rất ưng hiii,1
K giao,2
Màu sắc k giống hình,2
Áo vải quá xấu,2
"Nói chung là mình mua mặc đi làm ok, đáng tiền",1
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết",1
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng",2
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,1
Hàng kém chất lượng và không như quảng cáo,2
Shop phục vụ rất tốt,1
Nói chung là không thất vọng đâu,1
Chất lượng sản phẩm tuyệt vời,1
Sản phẩm giống hình,0
Giầy hơi cứng Chất lượng sản phẩm tạm được,0
Sờ chất quần thì Ok luôn,1
"Vay đẹp kỹ,tu van nhiet tinh",1
Y hình,1
Nt ko trả lời,2
Chất lượng vừa với giá tiền,1
Sẽ ủng hộ shop dài,1
Hàng chất lượng hơn giá sản phẩm nhak mọi người,1
Áo rách ntn ko hiểu phải mặc ntn luôn,2
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok",1
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀,1
Chọn màu này lấy màu kia,2
"hàng tương đối ổn,mình khá hài lòng",1
Inbox ko thèm trả lời,2
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang,1
Mất uy tín,2
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá,1
Rất ưng,1
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*",1
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh",1
giày đẹp lắm . giao hàng lâu quá mun điên,1
Shop giao siêu nhanh,1
Giao hàng nhanh,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền,1
Chất lượng sản phẩm tuyệt vời,1
Vừa ý,1
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn",1
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,1
Nhưng ko sao tks shop,1
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì,1
Vài thun rất mỏng ko fai len,2
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍,1
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒",1
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,1
Thêm tin tưởng vào shoppe,1
Áo vải đẹp mịn mát ❤,1
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh,1
Chủ shop nhiệt tình,1
Rất đáng tiền,1
Sản phẩm rất đẹp,1
Hơi thô,2
Vãi rất mỏng,2
Hàng y như hình,0
Đẹp lại rẻ,1
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh,1
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k",1
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh",1
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng",1
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm",2
Quả ko đẹp Chất lượng sản phẩm tạm được,2
"Áo chất đẹp, shop phục vụ tốt",1
Đóng gói sản phẩm chắc chắn,1
Tôi rất hài lòng về sản phẩm,1
Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp,1
Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn,2
Hàng rất ok 👍,1
CL phù hợp giá tiền,0
"Đúng hình ảnh, đẹp",1
Mẫu cũng đa dạng,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,1
Hết hàng thì phải báo với khách chứ đằng này vẫn giao,2
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng",1
"Đẹp, vừa ý..",1
Tuyệt ạ ... giày nhẹ êm,1
Đúng mỗi 1 màu,2
Sản phẩm chất lượng,1
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật",2
Đóng gói kỹ,1
Gói hàng cẩn thận,1
Cảm ơn shop nhìu,1
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa",1
Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền,1
Cảm ơn shop nhé,1
Giống hình mà vải hơi cứng bạn ạk,1
"Chất áo đẹp lắm, yêu shop",1
Quần của shop quá đẹp luôn,1
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn",1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền,1
Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm,0
Đặt 2 quần dài mà đóng gói cho 1 quần ngố,2
Khuyến khích cho 5*,1
"Nét chữ không được rõ, sp có mùi hơi kinh",2
Mặc phối với chân váy hay jean đều đẹp,1
Nhưng GHTK thu tròn 110.000 đ,2
"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc",0
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay,1
"Đóng gói sp chắc chắn, giao hàng rất nhanh",1
Chất lượng sản phẩm kém không giống như mô tả,2
Đáng tiền,1
Váy mặc siêu xinh,1
Thời gian giao hàng rất nhanh hàng y hình,1
Vải thì rất đẹp,1
Tiền nào cũa náy,0
Gooddd,1
Áo rộng hơn hình nhiều,2
Đóng gói sản phẩm rất đẹp và chắc chắn,1
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm,0
Áo from rộng như ảnh,1
Chất liệu vải ổn.nhưng hơi rộng,0
Ship ko đúng màu,2
vãi nĩ dày . nóng,2
"Shop phục vụ rất tốt, chất lượng sp ok",1
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun",2
Khá ok 😉 sẽ ủng hộ shop tiếp,1
Đẹp lắm nha,1
Áo vừa quá,1
Thời gian giao hàng nhanh,1
Áo đẹp lắm b ơi,1
Màu thì ko thực sự giống trong hình,2
Chất lượng vải kém ko như hình,2
Đã quay Video và chụp ảnh nhưng shop không phản hồi,2
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt",1
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág",2
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong,2
"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k",0
Đóng gói sản phẩm rất đẹp và chắc chắn,1
Chất dc,1
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ",1
"Mật ong loãng, ko đặc sánh lắm",2
Sẽ tiếp tục ủng hộ shop dài lâu,1
Dép đi êm và mềm,1
"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng",0
Chất tạm dc tương sứng giá tiền,1
Giao hàng và chăm sóc tận tình,1
giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp,0
Shop cho doi tra ok,0
Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng,1
Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn,1
"Vải mỏng, thô hơn mình tưởng tượng",0
Giao hàng nhanh,1
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt,1
"áo màu sắc tươi sáng, vải chất ạ",1
Shop rất thái độ với khách hàng,2
bị chật ngắn,2
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền,1
Được tốt,1
Chất lượng sản phẩm tuyệt vời,1
Chất lượng sp qá tệ,2
Chủ shop nhiệt tình dễ thương,1
"Giao hàng nhanh,",1
Đàn nhìn cưng lắm 🎶🎵🎶,1
Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ,1
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het",2
Nhưng khá ok rồi,1
Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực,1
Chả ra gì cả .chất lượng kém,2
Gui sai một sp còn lại chất lượng tốt,0
Chất rất oke,1
"Rất ưng, mặc thoải mái mà chất vải rất thích",1
Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ,2
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng,1
Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop,1
Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch,2
"Ai thik mua,chọn size lớn hơn 2size ok hơn",1
Đẹp hút hồn,1
Giao hàng cũng nhanh ^^,1
Giá còn rẻ,1
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn,1
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì",2
Không tốt chất liệu sấu,2
"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá",1
Vải kate thun mỏng nhẹ mát,1
Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt,1
Chất vải được,1
"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy",1
"Áo sơ mi đẹp, giống hình",0
"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè",1
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra,2
"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀",1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO,1
Ko ưng y lam,2
Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút,2
Chất lượng sản phẩm tuyệt vời,1
Giờ chẳng biết làm gì với cái áo đó,2
Ncl rất ưng,1
Thời gian giao hàng rất nhanh,1
"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả",1
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa",0
Shop phục vụ rất tốt,1
Chất áo mỏngg,0
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn,1
"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn",1
chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,2
"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><",1
"Hàng chuẩn, uy tín",1
Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!,0
Thời gian giao hàng rất nhanh,1
Đặt hàng ko giao hàng là Sao vậy á,2
Hơi mỏng :)) k như mong đợi,2
Ủng hộ shop ngàn sao luôn nè 😋😋,1
Hic,2
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính",1
Giao hàng nhanh,1
Chất lượng khá tốt,1
Vải dày và co giãn tốt,1
Nhưng nếu màu hồng tươi thì ok,1
Vải rất đẹp,1
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm,0
Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua,1
"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :)",0
Chất lượng sản phẩm tuyệt vời,1
Nỉ ấm và dày,1
Có chút trục trặc nhưng sửa lại thì vẫn đẹp,1
Chất lượng sản phẩm tuyệt vời,1
"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh",1
Giao lâu,2
Chất dai đanh và lì mặt,0
Giao hàg thì thôi nhah khỏi nói,1
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng,1
Muốn làm đại lý sỉ,1
San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua,0
Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng,1
"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng",2
Nhưng áo khiến mình hơi thất vọng,2
"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng",2
Chất lượng sản phẩm phù hợp vs giá,1
Mới dùng chất lượng OK,1
Thời gian giao hàng rất nhanh,1
Mua ba cái thấy ok,1
Đẹp quá ủng hộ shop lâu dài,1
Áo mặc ok lắm mọi người cứ tin tưởng mua hàng nhé,1
Dù sao với 160k thì chất lượng như vậy là quá được,1
đẹp dã man thế này,1
Áo xinh lắm nhé mấy nàng ❤ với giá này thì áo vậy là đẹp rồi,1
"Khô gà bị mặn, cả nhà mình đều kêu vậy.",2
Giao hàng nhanh,1
Áo rất ấm,1
Hơi thất vọng,2
Chất lượng sp tuyệt vời,1
"Huhuu, sr vì bh mới xác nhận đã nhận hàng :( quên béng đi mất",2
C Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh,1
Hết cherry nên shop gọi bảo mình đổi mẫu chứ ko tự giao mẫu khác 👍🏻 Chọn chuyển qua dưa hấu,0
Sản phẩm tốt phù hợp với giá tiền,1
Len chất hơi cứng chút😀Nhưng vẫn mặc Ok,0
"Kiểu dáng đúng mô tả, tuy nhiên quá mềm, không có độ cứng của khung túi, nên kém sang",0
"áo cực đẹp, nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc, cơ mà lần sau em mua shop đừng gọi mẹ em nhé :))))",1
Vải mỏng quá mỏng,2
Chất thích mà size hơi nhỏ so với size bthg,2
"Hàng đẹp, chất lượng",1
SP không có hộp nhé,2
Rất đáng tiền,1
Nhìn ưng lắm,1
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời,1
Ưng lắm shop à,1
Chất lượng sản phẩm tỐt Thời gian giao hàng tạm được,0
Còn về hàng thì okie luôn :),1
M chua thử nhưng thấy chất rất đẹp,1
Yến Sam,0
Xấu quắc...kg giống hình...cảm thấy khó chịu,2
"3 in 1 mà mở hộp ra có mỗi 2 len, thiếu mất len macro",2
Chất lượng sản phẩm rất kém Khong co dich vụ la sao Chất lượng sản phẩm tốt,1
Hộp hơi trầy nhưng hàng đóng gói kĩ,0
Dat xám gjao xah.thất vọg về sp,2
"Sản phẩm tốt, giá rẻ",1
Nhưng good,1
Thất vọng kinh khủng,2
Vậy là oke so với giá tiền rồi,1
Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền,1
"Hàng đẹp, đúng y hình",1
Đóng gói sản phẩm rất chắc chắn Thời gian giao hàng rất nhanh,1
Chất lượng sản phẩm không được tốt bằng sản phẩm mình mua trực tiếp ở các cửa hàng,2
Tks shop,1
Thời gian giao hàng nhanh,1
Shop phục vụ rất tốt,1
"form ko đẹp, ko định hình tốt vòng 1",2
Ống tay hơi nhỏ,2
Đc shop lì xì nữa,1
Sản phẩm chất lượng quá tệ,2
Shop giao hàng nhanh còn phục vụ nhiệt tình nữa,1
Biết đẹp thế mình mua thêm cái màu đỏ nữa 😊😊😊😊,1
Chỉ bung hết ra,2
5 sao nha,1
Tiếc rằng hết màu thích ko thì sẽ lấy thêm,0
Shop chăm sóc khách hàng rất chu đáo,1
"Chất lượng sản phẩm được, phải chi có màu rêu 😶",1
Tất cả đều ok,1
Áo đẹp,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.con dc shop tang qua nua,1
"Chiều rộng giữa 2 chân hơi ngắn, khi ngồi sau trên xe máy thấy hơi khó chịu",2
"Tuyệt vời ạ huhu, sẽ còn ủng hộ shop dài dài",1
Sp chất lượng,1
"Sản phẩm rất là chất lượng đóng goid rất là đẹp gọn gàng, nên mua hàng ở đây rất uy tín",1
Chất lượng sản phẩm quá tệ,2
"Chất lượng sản phẩm tạm dc ,hơi chật ,mik 45 kg thấy hơi chật,cổ bị rộng",2
"Dùng rất ok, chỉ ko biết dùng liệu có lâu được ko thôi hì 😄",0
Potay,0
